"English","TSE","Rōmaji","Japanese"
"Mabuchi Motor","TYO: 6592","Mabuchi Mōtā Kabushiki Kaisha","マブチモーター株式会社"
"Maeda Corporation","TYO: 1824","Maeda Kensetsu Kōgyō Kabushiki Kaisha","前田建設工業株式会社"
"Makino","TYO: 6135","Kabushiki-gaisha Makino Furaisu Seisakusho","株式会社牧野フライス製作所"
"Makita","TYO: 6586","Kabushiki Kaisha Makita","株式会社マキタ"
"Mandom","TYO: 4917","Kabushiki-gaisha Mandamu","株式会社マンダム"
"Marubeni","TYO: 8002","Marubeni Kabushiki-gaisha","丸紅株式会社"
"Maruhon","","'Kabushiki Kaisha Maruhon Kōgyō","マルホン工業株式会社"
"Marui","TYO: 8252","Kabushiki-gaisha Marui","株式会社丸井"
"Mazda","TYO: 7261","Matsuda Kabushiki-kaisha","マツダ株式会社"
"Mazdaspeed","","Matsudasupiido","マツダスピード"
"Media Create","","Kabushiki Gaisha Media Kurieito","株式会社メディアクリエイト"
"Meiji Holdings","TYO: 2269","Meiji Hōrudingusu Kabushiki-gaisha","明治ホールディングス株式会社"
"Meiji Dairies","","Meiji Nyūgyō Kabushiki-gaisha","明治乳業株式会社"
"Meiji Seika","","Meiji Seika Kabushiki-gaisha","明治製菓株式会社"
"Meiji Yasuda Life Insurance","","Meiji Yasuda Seimei Hoken Sōgo Kaisha","明治安田生命保険相互会社"
"Melco Holdings Inc. Well-known for Buffalo, Inc.","","Kabushiki-gaisha Meruko Hōrudingusu","株式会社メルコホールディングス"
"Metropolitan Intercity Railway Company","","Shuto-ken Shin Toshi Tetsudō Kabushiki-gaisha","首都圏新都市鉄道株式会社"
"Michinoku Bank","TYO: 8350","Kabushiki-gaisha Michinoku Ginkō","株式会社みちのく銀行"
"Mikasa Corporation Also known by the name Mikasa Sports.","","Kabushiki Kaisha Mikasa","株式会社　ミカサ"
"Millea Holdings","TYO: 8766","Kabushiki-gaisha Mirea Hōrudingusu","株式会社ミレアホールディングス"
"MINE'S","","Kabushiki-gaisha Mainzu","株式会社マインズ"
"Mister Donut","","Misutā Dōnatsu","ミスタードーナツ"
"MITSUBA","TYO: 7280","Kabushiki-gaisha MITSUBA",""
"Mitsubishi","","Mitsubishi Gurūpu","三菱グループ"
"Mitsubishi Motors","TYO: 7211","Mitsubishi Jidōsha Kōgyō Kabushiki Kaisha","三菱自動車工業株式会社"
"Mitsubishi Chemical","","Mitsubishi Kagaku Kabushiki-gaisha","三菱化学株式会社"
"Mitsubishi Corporation","TYO: 8058","Mitsubishi Shōji Kabushiki Kaisha","三菱商事株式会社"
"Mitsubishi Electric","TYO: 6503","Mitsubishi Denki Kabushiki-gaisha","三菱電機株式会社"
"Mitsubishi Estate","TYO: 8802","Mitsubishi Jisho Kabushiki-gaisha","三菱地所株式会社"
"Mitsubishi Gas Chemical","TYO: 4182","Mitsubishi Gasu Kagaku","三菱ガス化学"
"Mitsubishi Heavy Industries","TYO: 7011","Mitsubishi Jūkōgyō Kabushiki Kaisha","三菱重工業株式會社"
"Mitsubishi Materials","TYO: 5711","Mitsubishi Materiaru Kabushiki Kaisha","三菱マテリアル株式会社"
"Mitsubishi Pencil Unrelated to Mitsubishi Group","TYO: 7976","Mitsubishi Enpitsu Kabushiki Kaisha","三菱鉛筆株式会社"
"Mitsubishi UFJ Financial Group","TYO: 8306","Kabushiki-gaisha Mitsubishi Yūefujei Finansharu Gurūpu","株式会社三菱UFJフィナンシャル・グループ"
"Mitsubishi UFJ Trust and Banking Corporation","","Mitsubishi Yūefujei Shintaku Ginkō Kabushiki-gaisha","三菱UFJ信託銀行株式会社"
"Mitsubishi UFJ Securities Co., Ltd.","TYO: 8615","Mitsubishi UFJ Shōken Kabushiki Kaisha","三菱UFJ証券株式会社"
"Mitsui","","Mitsui Gurūpu","三井グループ"
"Mitsui Bussan","TYO: 8031","Mitsui Bussan Kabushiki Kaisha","三井物産株式会社"
"Mitsui Chemicals","TYO: 4183","Mitsui Kagaku Kabushiki Kaisha","三井化学株式会社"
"Mitsui Engineering & Shipbuilding","TYO: 7003","Mitsui Sōsen Kabushiki Kaisha","三井造船株式会社"
"Mitsui Fudosan","TYO: 8801","Mitsui Fudōsan Kabushiki-gaisha","三井不動産株式会社"
"Mitsui O.S.K. Lines","TYO: 9104","Kabushiki-gaisha Shōsen Mitsui","株式会社商船三井"
"Mitsui Sumitomo Insurance","TYO: 8752","Mitsui Sumitomo Kaijō Kasai Hoken Kabushiki Kaisha","三井住友海上火災保険株式会社"
"Mitsui Trust Holdings","TYO: 8309","Mitsui Torasuto Hōrudingusu Kabushiki-gaisha","三井トラスト・ホールディングス株式会社"
"Mitsukoshi","TYO: 2779","Kabushiki-gaisha Mitsukoshi","株式会社三越"
"Mitsumi Electric","TYO: 6767","Mitsumi Denki Kabushiki-gaisha","ミツミ電機株式会社"
"Mitutoyo","","Kabushiki-gaisha Mitutoyo","株式会社ミツトヨ"
"Mizuho Financial Group","TYO: 8411","Kabushiki-gaisha Mizuho Finansharu Gurūpu","株式会社みずほフィナンシャルグループ"
"Mizuho Bank","","Kabushiki-gaisha Mizuho Ginkō","株式会社みずほ銀行"
"Mizuho Corporate Bank","","Kabushiki-gaisha Mizuho Kōporēto Ginkō","式会社みずほコーポレート銀行"
"Mizuho Trust & Banking","TYO: 8404","Mizuho Shintaku Ginkō Kabushiki-gaisha","みずほ信託銀行株式会社"
"Mizuho Information & Research Institute","","Mizuho Jōhō Sōken Kabushiki Kaisha","みずほ情報総研株式会社"
"Mizuno Corporation","TYO: 8022","Mizuno Kabushiki-gaisha","ミズノ株式会社"
"Molten Corporation","","Kabushiki-gaisha Moruten","株式会社モルテン"
"Moodyz","","Mūdīzu","MOODYZ"
"Morinaga & Company","TYO: 2201","Morinaga Seika Kabushiki-gaisha","森永製菓株式会社"
"Moriwaki Engineering","","Kabushiki-gaisha Moriwaki Enjiniaringu","株式会社モリワキエンジニアリング"
"Morozoff Ltd.","TYO: 2217","Morozofu Kabushiki-gaisha","モロゾフ株式会社"
"Mugen Motorsports","","Kabushiki Kaisha M-TEC","株式会社M-TEC"
"Mugen Seiki","","Kabushiki Kaisha Mugen Seiki","株式会社無限精機"
"Muji","TYO: 7453","Kabushiki-gaisha Ryōhin Keikaku","株式会社良品計画"
"Murata Manufacturing","TYO: 6981","Kabushiki-gaisha Murata Seisakusho","株式会社村田製作所"
