"Industry","City","Fortune 1000 rank (2014)","Name"
"retail","Berlin, NJ","","A.C. Moore"
"security","Conshohocken, PA","","AlliedBarton"
"financial services","Huntingdon Valley, PA","","Alpha Card Services"
"entertainment","West Conshohocken, PA","","Alpha Video"
"gases","Radnor Township, PA","498","Airgas"
"utility","Voorhees, NJ","","American Water"
"gas","King of Prussia, PA","","AmeriGas"
"drug wholesale","Chesterbrook, PA","28","AmerisourceBergen"
"electronics","Paoli, PA","649","Ametek"
"food","Philadelphia","","Amoroso's Baking Company"
"utilities","Bryn Mawr, PA","","Aqua America"
"hospitality","Philadelphia","209","Aramark"
"coatings","Philadelphia","","Axalta Coating Systems"
"law","Philadelphia","","Ballard Spahr LLP"
"financial","Philadelphia","","Beneficial Bank"
"law","Philadelphia","","Blank Rome"
"real estate","Radnor, PA","","Brandywine Realty Trust"
"retail","Reading, PA","","Boscov's"
"apparel","Burlington, NJ","551","Burlington Coat Factory"
"media","Levittown, PA","","Calkins Media"
"food","Camden, New Jersey","315","Campbell Soup Company"
"metals","Reading, PA","899","Carpenter"
"engineering services","Philadelphia","","CDI"
"hospital and healthcare","Newtown, PA","","CenTrak"
"pharmaceuticals","Frazer, PA","","Cephalon"
"manufacturing","Philadelphia","","Checkpoint Systems"
"manufacturing","Philadelphia","775","Chemtura"
"manufacturing","Conshohocken","","Ciright Systems"
"apparel","Bensalem, PA","","Charming Shoppes"
"telecommunications","Philadelphia","44","Comcast"
"entertainment","Philadelphia","","Comcast Spectacor"
"railroad","Philadelphia","","Conrail Shared Assets Operations"
"law","Philadelphia","","Cozen O'Connor"
"packaging","Philadelphia","313","Crown Holdings"
"manufacturing","Philadelphia","","CSS Industries"
"REIT providing self-storage facilities","Malvern, PA","","CubeSmart"
"specialty retail","Conshohocken, PA","","David's Bridal"
"law","Philadelphia","","Dechert"
"construction","Philadelphia","","Day & Zimmermann"
"manufacturing","Philadelphia","","Disston Precision"
"finance","Philadelphia","","Dollar Financial Group"
"law","Philadelphia","","Drinker Biddle & Reath"
"law","Philadelphia","","Duane Morris"
"chemicals","Wilmington, DE","86","DuPont"
"drugs","Chadds Ford, PA","766","Endo Pharmaceuticals"
"media","Bala Cynwyd, PA","","Entercom"
"healthcare","Philadelphia","","ERT"
"Financial Services","King of Prussia, PA","","Fiserv"
"chemicals","Philadelphia","581","FMC"
"law","Philadelphia","","Fox Rothschild"
"food","Philadelphia","","Frankford Candy & Chocolate Company"
"bicycles","Philadelphia","","Fuji Advanced Sports"
"precious metal refining","Philadelphia","","Garfield Refining"
"healthcare","Kennett Square, PA","","Genesis HealthCare"
"insurance","Harleysville, PA","","Harleysville Group"
"construction","Marlton, NJ","","Hill International"
"nuclear power equipment","Marlton, NJ","","Holtec International"
"aerospace","Exton, PA","","Innovative Solutions & Support"
"telecommunications","Wilmington, DE","","InterDigital"
"finance","Wayne, PA","","Internet Capital Group"
"real estate","Philadelphia","","Iron Stone Strategic Capital Partners"
"food","Pennsauken, NJ","","J & J Snack Foods"
"construction","Philadelphia","","JJ White"
"employment solutions","Wayne, PA","","Kenexa"
"furniture","East Greenville, PA","","Knoll"
"apparel","Bridgeport, PA","","League Collegiate Wear"
"Health Care","King of Prussia, PA","","LexisNexis Risk Solutions"
"real estate","Malvern, PA","","Liberty Property Trust"
"insurance","Radnor, PA","232","Lincoln National Corporation"
"pharmaceutical","Exton, PA","","Melior Discovery"
"apparel","Philadelphia","","Destination Maternity"
"law","Philadelphia","","Morgan, Lewis & Bockius"
"food","Horsham, PA","","NutriSystem"
"entertainment","Lahaska, PA","","Peddler's Village"
"insurance","Horsham, PA","","Penn Mutual"
"entertainment","Wyomissing, PA","790","Penn National Gaming"
"real estate","Philadelphia","","Pennsylvania Real Estate Investment Trust"
"oil","Radnor, PA","","Penn Virginia"
"automotive","Philadelphia","945","Pep Boys Manny Moe & Jack"
"law","Philadelphia","","Pepper Hamilton"
"financial","Mount Laurel, NJ","","PHH"
"newspapers","Philadelphia","","Philadelphia Media Network"
"retail","West Chester","","QVC, Inc"
"food","Bensalem, PA","","Rita's Italian Ice"
"law","Philadelphia","","Saul Ewing"
"law","Philadelphia","","Schnader, Harrison, Segal & Lewis"
"law","Reading, PA","","Stevens & Lee"
"oil","Philadelphia","","Sunoco"
"information technology","Wayne, PA","585","Sungard"
"financial","Bala Cynwyd, PA","","Susquehanna International Group"
"consulting and outsourcing","Chester, PA","","Synygy"
"manufacturing","Limerick, PA","","Teleflex"
"design","Conshohocken, PA","","Think Brownstone"
"entertainment","Philadelphia","","TLA Entertainment Group"
"house construction","Horsham, PA","791","Toll Brothers"
"aerospace manufacturing and repair","Wayne, PA","","Triumph Group"
"science equipment","Thorofare, NJ","","Troemner"
"home builder","Harleysville, PA","","T.H. Properties"
"utilities","King of Prussia, PA","362","UGI"
"information technology","Blue Bell, PA","664","Unisys"
"healthcare","King of Prussia, PA","324","Universal Health Services"
"apparel","Philadelphia","715","Urban Outfitters"
"financial","Malvern, PA","","Vanguard"
"pharmaceuticals","Exton, PA","","ViroPharma"
"electronics","Malvern, PA","868","Vishay Intertechnology"
"scientific products","Radnor, PA","583","VWR International"
"convenience stores","Wawa, PA","","Wawa Food Markets"
"healthcare","Lionville, PA","","West Pharmaceutical Services"
"law","Philadelphia","","White and Williams LLP"
"construction","Exton, PA","","WPCS International"
"financial","Wilmington, DE","","WSFS Bank"
