"Industry","Headquarters","CEO","Name"
"Retail","23x15px Bentonville, Arkansas","Doug McMillon","Walmart"
"Oil and gas","23x15px Beijing","Wang Tianpu","Sinopec Group"
"Oil and gas","23x15px Beijing","Wang Yilin","China National Petroleum Corporation"
"Oil and gas","23x15px Dhahran","Amin H. Nasser","Saudi Aramco"
"Electric utility","23x15px Beijing","Liu Zhenya","State Grid"
"Conglomerate","23x15px Suwon","Lee Kun-hee","Samsung"
"Oil and gas","23x15px The Hague 23x15px London","Ben van Beurden","Royal Dutch Shell"
"Oil and gas","23x15px Irving, Texas","Rex W. Tillerson","ExxonMobil"
"Commodities","23x15px Rotterdam; 23x16px Geneva","Ian Taylor","Vitol"
"Oil and gas","23x15px Al Shuwaikh","Nizar Al-Adsani","Kuwait Petroleum Corporation"
"Automotive","23x15px Wolfsburg","Matthias Müller","Volkswagen"
"Consumer electronics","23x15px Cupertino, California","Tim Cook","Apple"
"Automotive","23x15px Toyota, Aichi","Akio Toyoda","Toyota"
"Oil and gas","23x15px London","Bob Dudley","BP"
"Commodities","23x16px Baar","Ivan Glasenberg","Glencore"
"Oil and gas","23x15px Courbevoie","Patrick Pouyanne","Total"
"Conglomerate","23x15px Omaha, Nebraska","Warren Buffett","Berkshire Hathaway"
"Pharmaceuticals","23x15px San Francisco, California","John Hammergren","McKesson"
"Transport","23x15px Beijing","Sheng Guangzu","China Railway"
"Oil and gas","23x15px Houston, Texas","Greg Garland","Phillips 66"
"Conglomerate","23x15px Tokyo","Jiro Saito","Japan Post"
"Automotive","23x15px Stuttgart","Dieter Zetsche","Daimler"
"Automotive","23x15px Detroit, Michigan","Mary Barra","General Motors"
"Conglomerate","23x15px Boston, Massachusetts","Jeffrey Immelt","General Electric"
"Financial services","23x15px Turin","John Elkann","Exor"
"Financial services","23x15px Munich","Oliver Bäte","Allianz"
"Automotive","23x15px Dearborn, Michigan","Mark Fields","Ford Motor Company"
"Oil and gas","23x15px Rio de Janeiro","Pedro Parente","Petrobras"
"Oil and gas","23x15px Moscow","Vagit Alekperov","Lukoil"
"Automotive","23x15px Tokyo","Takahiro Hachigo","Honda"
"Retail","23x15px Woonsocket, Rhode Island","Larry Merlo","CVS Health"
"Oil and gas","23x15px San Ramon, California","John Watson","Chevron"
"Financial services","23x15px Beijing","Jiang Jianqing","Industrial and Commercial Bank of China"
"Electric utility","23x15px Düsseldorf","Johannes Teyssen","E·ON"
"Electronics","23x15px Taiwan","Terry Gou","Foxconn"
"Oil and gas","23x15px Rome","Claudio Descalzi","Eni"
"Telecommunications","23x15px Dallas, Texas","Randall L. Stephenson","AT&T"
"Oil and gas","23x15px San Antonio, Texas","William R. Klesse","Valero"
"Health care","23x15px Minnetonka, Minnesota","Stephen Hemsley","United Health"
"Oil and gas","23x15px Caracas","Rafael Ramírez","PDVSA"
"Commodities","23x16px Lucerne","Claude Dauphin","Trafigura"
"Telecommunications","23x15px New York City, New York","Lowell McAdam","Verizon"
"Construction","23x15px Beijing","Yi Jun","China Construction Engineering"
"Food processing","23x15px Wayzata, Minnesota","Dave MacLennan","Cargill"
"Pharmaceuticals","23x15px Chesterbrook, Pennsylvania","Steven H. Collis","AmerisourceBergen"
"Conglomerate","23x15px Wichita, Kansas","Charles Koch","Koch Industries"
"Retail","23x15px Issaquah, Washington","W. Craig Jelinek","Costco"
"Electronics","23x15px Palo Alto, California","Meg Whitman","Hewlett Packard Enterprise"
"Conglomerate","23x15px Mumbai, India","Cyrus Pallonji Mistry","Tata Group"
