"Company","GICS","Sector"
"AGL Energy Ltd","55","Utilities"
"Asciano Ltd","20","Industrials"
"Amcor Ltd","15","Materials"
"AMP Ltd","40","Financials"
"ANZ Banking Group","40","Financials"
"APA Group","55","Utilities"
"ASX Limited","40","Financials"
"Aurizon Holdings Limited","20","Industrials"
"BHP Billiton Ltd","15","Materials"
"Brambles Ltd","20","Industrials"
"Commonwealth Bank","40","Financials"
"Coca-Cola Amatil Ltd","30","Consumer Staples"
"Computershare Ltd","45","Information Technology"
"CSL Ltd","35","Health Care"
"Caltex Australia Ltd","10","Energy"
"Crown Resorts Ltd","25","Consumer Discretionary"
"Dexus Property Group","?","Real Estate"
"Goodman Group Limited","40","Financials"
"GPT Group","40","Financials"
"Insurance Australia Group Ltd","40","Financials"
"Incitec Pivot","15","Materials"
"James Hardie","15","Materials"
"Lend Lease Group","40","Financials"
"Macquarie Group Ltd","40","Financials"
"Medibank Private Limited","40","Financials"
"Mirvac Ltd","40","Financials"
"National Australia Bank Ltd","40","Financials"
"Newcrest Mining Ltd","15","Materials"
"Origin Energy Ltd","10","Energy"
"Orica Ltd","15","Materials"
"Oil Search Ltd","10","Energy"
"QBE Insurance Group Ltd","40","Financials"
"Ramsay Health Care Ltd","40","Financials"
"Rio Tinto Ltd","15","Materials"
"Scentre Group Ltd","15","Materials"
"Seek Limited","20","Industrials"
"Stockland","40","Financials"
"Sonic Healthcare Ltd","35","Health Care"
"South32 Ltd","40","Financials"
"Santos Ltd","10","Energy"
"Suncorp Group Ltd","40","Financials"
"Sydney Airport Holdings","20","Industrials"
"Transurban Group NPV","20","Industrials"
"Telstra Corp Ltd","50","Telecommunications Services"
"Vicinity Limited","40","Financials"
"Westpac Banking Corp","40","Financials"
"Wesfarmers Ltd","20","Industrials"
"Westfield Corporation Ltd","40","Financials"
"Woolworths Ltd","30","Consumer Staples"
"Woodside Petroleum Ltd","10","Energy"
