"Corporate form","Registered office","Name"
"23x15px Société Anonyme","20px Paris","Air Liquide"
"23x15px Societas Europaea","20px Amsterdam","Airbus Group"
"23x15px Societas Europaea","20px Munich","Allianz"
"23x15px Société Anonyme/Naamloze vennootschap","23x15px Belgium","Anheuser-Busch InBev"
"23x15px Naamloze vennootschap","23x15px Netherlands","ASML Holding"
"23x15px Società per azioni","20px Trieste","Assicurazioni Generali"
"23x15px Société Anonyme","20px Paris","AXA"
"23x15px Sociedad Anónima","23x15px Spain","Banco Bilbao Vizcaya Argentaria"
"23x15px Sociedad Anónima","23x15px Spain","Banco Santander"
"23x15px Societas Europaea","23x15px Germany","BASF"
"23x15px Aktiengesellschaft","23x15px Germany","Bayer"
"23x15px Aktiengesellschaft","23x15px Germany","BMW"
"23x15px Société Anonyme","23x15px France","BNP Paribas"
"23x15px Société Anonyme","23x15px France","Carrefour"
"23x15px Société Anonyme","23x15px France","Compagnie de Saint-Gobain"
"23x15px Aktiengesellschaft","20px Stuttgart","Daimler AG"
"23x15px Aktiengesellschaft","23x15px Germany","Deutsche Bank"
"23x15px Aktiengesellschaft","23x15px Germany","Deutsche Post"
"23x15px Aktiengesellschaft","23x15px Germany","Deutsche Telekom"
"23x15px Società per azioni","23x15px Italy","Enel"
"23x15px Société Anonyme","23x15px France","Engie"
"23x15px Società per azioni","23x15px Italy","Eni"
"23x15px Societas Europaea","23x15px Germany","E.ON"
"23x15px Société Anonyme","23x15px France","Essilor International"
"23x15px Societas Europaea","23x15px Germany","Fresenius SE"
"23x15px Société Anonyme","23x15px France","Groupe Danone"
"23x15px Sociedad Anónima","23x15px Spain","Iberdrola"
"23x15px Sociedad Anónima","23x15px Spain","Inditex"
"23x15px Naamloze vennootschap","23x15px Netherlands","ING Group NV"
"23x15px Società per azioni","23x15px Italy","Intesa Sanpaolo"
"23x15px Société Anonyme","23x15px France","L'Oréal"
"23x15px Societas Europaea","23x15px France","LVMH Moët Hennessy Louis Vuitton"
"23x15px Aktiengesellschaft","23x15px Germany","Munich Re"
"23x15px Julkinen osakeyhtiö","23x15px Finland","Nokia"
"23x15px Société Anonyme","23x15px France","Orange S.A."
"23x15px Naamloze vennootschap","23x15px Netherlands","Philips"
"23x15px Société Anonyme","23x15px France","Safran"
"23x15px Société Anonyme","23x15px France","Sanofi"
"23x15px Societas Europaea","23x15px Germany","SAP SE"
"23x15px Societas Europaea","23x15px France","Schneider Electric"
"23x15px Aktiengesellschaft","23x15px Germany","Siemens"
"23x15px Société Anonyme","23x15px France","Société Générale SA"
"23x15px Sociedad Anónima","20px Madrid","Telefónica"
"23x15px Société Anonyme","23x15px France","TOTAL S.A."
"23x15px Societas Europaea","23x15px France","Unibail-Rodamco"
"23x15px Società per azioni","23x15px Italy","UniCredit"
"23x15px Naamloze vennootschap/23x15px Public limited company","23x15px Netherlands/23x15px United Kingdom","Unilever"
"23x15px Société Anonyme","23x15px France","Vinci SA"
"23x15px Société Anonyme","20px Paris","Vivendi"
"23x15px Aktiengesellschaft","23x15px Germany","Volkswagen Group"
