"ISIN (and link to quote webpage)","ICB Sector","Company","Market Capitalization EUR as 31 March 2016"
"IT0001233417","7530 (Electricity)","A2A","3.598.141.711"
"IT0004998065","8770 (Financial Services)","Anima","1.896.020.937"
"IT0003506190","2770 (Industrial Transportation)","Atlantia","20.162.259.321"
"IT0003261697","8770 (Financial Services)","Azimut","2.850.664.212"
"IT0004776628","8570 (Life Insurance/Assurance)","Banca Mediolanum","5.107.529.274"
"IT0001334587","8350 (Banks)","Banca Monte dei Paschi di Siena","1.457.243.692"
"IT0000066123","8350 (Banks)","Banca Popolare dell'Emilia Romagna","2.011.532.342"
"IT0000064482","8350 (Banks)","Banca Popolare di Milano","2.697.873.198"
"IT0004231566","8350 (Banks)","Banco Popolare","2.193.432.130"
"IT0001347308","2350 (Construction & Materials)","Buzzi Unicem","2.521.822.546"
"IT0003849244","3530 (Beverages)","Campari","5.112.724.320"
"NL0010545661","2700 Industrial Goods & Services","CNH Industrial","8.188.502.31"
"IT0003128367","7530 (Electricity)","Enel","39.887.952.100"
"IT0003132476","0530 (Oil & Gas Producers)","Eni","48.204.561.054"
"IT0001353140","8770 (Financial Services)","Exor","7.818.610.296"
"NL0011509302","(Automobiles & Parts)","Ferrari","7.097.658.240"
"NL0010877643","(Automobiles & Parts)","Fiat Chrysler Automobiles","9.212.487.375"
"IT0000072170","8350 (Banks)","FinecoBank","4.486.233.949"
"IT0000062072","8530 (Nonlife Insurance)","Generali","20.298.669.551"
"IT0000072618","8350 (Banks)","Intesa Sanpaolo","38.205.718.059"
"IT0001465159","8350 (Building materials)","Italcementi","3.592.109.236"
"IT0003856405","2710 (Aerospace & Defense)","Leonardo-Finmeccanica","6.464.126.121"
"IT0001479374","3760 (Personal Goods)","Luxottica","23.604.913.158"
"IT0001063210","5550 (Media)","Mediaset","4.273.208.836"
"IT0000062957","8350 (Banks)","Mediobanca","5.449.014.606"
"IT0004965148","3760 (Personal Goods)","Moncler","3.737.159.552"
"IT0003796171","3350 (Nonlife Insurance)","Poste italiane","8.715.541.419"
"IT0004176001","2730 (Electronic & Electrical Equipment)","Prysmian","4.323.040.592"
"IT0000068525","0570 (Oil Equipment Services & Distribution)","Saipem","3.584.888.369"
"IT0004712375","3760 (Personal Goods)","Salvatore Ferragamo","3.796.660.986"
"IT0003153415","7570 (Gas Water & Multiutilities)","Snam","19.217.454.043"
"NL0000226223","9570 (Technology Hardware & Equipment)","STMicroelectronics","4.433.043.189"
"IT0003497168","6530 (Fixed Line Telecommunications)","Telecom Italia","12.862.715.935"
"LU0156801721","1750 (Industrial Metals & Mining)","Tenaris","12.910.704.934"
"IT0003242622","7530 (Electricity)","Terna","10.104.229.784"
"IT0003487029","8350 (Banks)","UBI Banca","2.942.585.940"
"IT0004781412","8350 (Banks)","UniCredit","18.931.252.711"
"IT0004810054","8530 (Nonlife Insurance)","Unipol","2.545.165.522"
"IT0004827447","8530 (Nonlife Insurance)","UnipolSai","5.744.322.345"
"IT0003540470","3760 (Personal Goods)","YOOX","2.291.615.186"
